ROW_JSON
"{""TIMESTAMP"": ""2025-10-27 00:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 71.02096113738612, ""WAVE_HEIGHT_M"": 3.255741870056726, ""TEMPERATURE_C"": 29.7150002775674, ""WEATHER_RISK_INDEX"": 0.3229251750935163}"
"{""TIMESTAMP"": ""2025-10-28 05:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 59.82127527341513, ""WAVE_HEIGHT_M"": 3.740529816178923, ""TEMPERATURE_C"": 30.688999439272948, ""WEATHER_RISK_INDEX"": 0.4956565903077168}"
"{""TIMESTAMP"": ""2025-10-28 06:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 73.13282360242587, ""WAVE_HEIGHT_M"": 2.024006026650813, ""TEMPERATURE_C"": 32.08390661252279, ""WEATHER_RISK_INDEX"": 0.4038361802355189}"
"{""TIMESTAMP"": ""2025-10-28 07:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 60.30276895453316, ""WAVE_HEIGHT_M"": 3.824438020768885, ""TEMPERATURE_C"": 29.978453417860443, ""WEATHER_RISK_INDEX"": 0.5494684217364829}"
"{""TIMESTAMP"": ""2025-10-28 08:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 37.19569890527209, ""WAVE_HEIGHT_M"": 3.683438669694735, ""TEMPERATURE_C"": 30.187618055668604, ""WEATHER_RISK_INDEX"": 0.5872714072274844}"
"{""TIMESTAMP"": ""2025-10-28 09:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 59.19664642431, ""WAVE_HEIGHT_M"": 2.9426431907299264, ""TEMPERATURE_C"": 29.2346649509759, ""WEATHER_RISK_INDEX"": 0.5952436603986759}"
"{""TIMESTAMP"": ""2025-10-28 10:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 67.43651560173528, ""WAVE_HEIGHT_M"": 3.02710196796334, ""TEMPERATURE_C"": 30.258750061913656, ""WEATHER_RISK_INDEX"": 0.6986776082504653}"
"{""TIMESTAMP"": ""2025-10-28 11:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 47.511384356078096, ""WAVE_HEIGHT_M"": 3.1651861010582207, ""TEMPERATURE_C"": 30.74821206971353, ""WEATHER_RISK_INDEX"": 0.3914829701031512}"
"{""TIMESTAMP"": ""2025-10-28 12:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 62.21876831912709, ""WAVE_HEIGHT_M"": 5.270620212462061, ""TEMPERATURE_C"": 29.5332002480511, ""WEATHER_RISK_INDEX"": 0.1580817780175424}"
"{""TIMESTAMP"": ""2025-10-28 13:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 42.14487849563798, ""WAVE_HEIGHT_M"": 4.343710412521429, ""TEMPERATURE_C"": 29.87989035167788, ""WEATHER_RISK_INDEX"": 0.2479399770768413}"
"{""TIMESTAMP"": ""2025-10-28 14:00:00"", ""FORECAST_CONDITION"": ""Sunny"", ""WIND_SPEED_KPH"": 84.07113122176148, ""WAVE_HEIGHT_M"": 4.029098049301171, ""TEMPERATURE_C"": 29.812885322360323, ""WEATHER_RISK_INDEX"": 0.3888885263674254}"
"{""TIMESTAMP"": ""2025-10-28 15:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 58.12045600234583, ""WAVE_HEIGHT_M"": 3.931783339839853, ""TEMPERATURE_C"": 29.170124215782085, ""WEATHER_RISK_INDEX"": 0.7364794733259628}"
"{""TIMESTAMP"": ""2025-10-28 16:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 67.79820299600826, ""WAVE_HEIGHT_M"": 4.647940209158881, ""TEMPERATURE_C"": 32.06204924077141, ""WEATHER_RISK_INDEX"": 0.4965815824493863}"
"{""TIMESTAMP"": ""2025-10-28 17:00:00"", ""FORECAST_CONDITION"": ""Sunny"", ""WIND_SPEED_KPH"": 69.96296015645336, ""WAVE_HEIGHT_M"": 3.3151982719830846, ""TEMPERATURE_C"": 31.20381631146133, ""WEATHER_RISK_INDEX"": 0.3748360791721578}"
"{""TIMESTAMP"": ""2025-10-28 18:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 56.87593048348769, ""WAVE_HEIGHT_M"": 3.396814402666465, ""TEMPERATURE_C"": 32.36478415055739, ""WEATHER_RISK_INDEX"": 0.6999032974226923}"
"{""TIMESTAMP"": ""2025-10-28 19:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 39.8039440507997, ""WAVE_HEIGHT_M"": 2.894042336762068, ""TEMPERATURE_C"": 29.65082976022091, ""WEATHER_RISK_INDEX"": 0.5598527651417139}"
"{""TIMESTAMP"": ""2025-10-28 20:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 54.36939857467394, ""WAVE_HEIGHT_M"": 2.373682788364582, ""TEMPERATURE_C"": 31.48125227669085, ""WEATHER_RISK_INDEX"": 0.463699975606657}"
"{""TIMESTAMP"": ""2025-10-28 21:00:00"", ""FORECAST_CONDITION"": ""Sunny"", ""WIND_SPEED_KPH"": 70.08507128573305, ""WAVE_HEIGHT_M"": 2.630074491671597, ""TEMPERATURE_C"": 31.574989248964847, ""WEATHER_RISK_INDEX"": 0.7464226768188097}"
"{""TIMESTAMP"": ""2025-10-28 22:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 63.89377822629605, ""WAVE_HEIGHT_M"": 2.440791091107904, ""TEMPERATURE_C"": 28.74206769969385, ""WEATHER_RISK_INDEX"": 0.3771308497315095}"
"{""TIMESTAMP"": ""2025-10-28 23:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 53.15698290763747, ""WAVE_HEIGHT_M"": 3.291479314458443, ""TEMPERATURE_C"": 29.922687177103228, ""WEATHER_RISK_INDEX"": 0.2848930714042242}"
"{""TIMESTAMP"": ""2025-10-29 00:00:00"", ""FORECAST_CONDITION"": ""Sunny"", ""WIND_SPEED_KPH"": 46.637724250815126, ""WAVE_HEIGHT_M"": 3.037801110832248, ""TEMPERATURE_C"": 27.95123623342464, ""WEATHER_RISK_INDEX"": 0.6581973337048548}"
